Makale_Basligi,Etiket
ASP .NET Core Bootstrap toast,0
I Built a VS Code Extension That Brings the Visual Studio Experience to .NET Developers,0
MCP (Model Context Protocol) for .NET Devs — What It Is and Why You'll Be Using It Soon,0
"Game Dev Digest — Issue #331 - AI Opinions, Grass System, How Tos, and more",1
C# got left behind in the AI Agent hype. So I fixed it! AgentDevKit,1
Structured Output in .NET Agents,0
.NET Design Patterns Deep Dive: What Still Matters in 2026,1
I wrote a .NET library for syscalls and process injection,0
"Building a Website Contact Scraper API in .NET 10: Architecture, Crawling, and Fighting Cloudflare",0
Tools and Dependency Injection in Microsoft Agent Framework,1
Why I built Parlotype: a privacy-first voice-to-English desktop app on .NET 10,0
C# Networking Deep Dive With io_uring part 2 - Bridge the Async Model,1
Modernize Legacy .NET Without a Full Rewrite: A Practical Roadmap,1
Dynamic Agent Context with AIContextProvider,1
Introducing Kiwi DI: Simplifying Dependency Injection in .NET Ecosystems,0
Why I stopped using exceptions for control flow in my .NET 8 APIs,0
Linear Search vs Binary Search (and Why It Actually Matters),1
"C# JVM Guide: JDK, CLR & Java Interop for .NET",0
I built ConfigWay — a runtime config editor for ASP.NET Core (my first open source project),1
Clean Architecture in .NET 10 — The Big Picture,1
A Semantic Kernel Alternative for .NET — When and Why You'd Reach for One,0
Why I Stopped Using MediatR and Built CQRS From Scratch in .NET 10,0
Building WeaveLLM: Why .NET Deserves a Better then LangChain,0
Chapter 12: Inference - Generating New Text,1
Debugging Production and Performance Issues in .NET — A Practical Guide,1
Building an Interactive Cohort Analysis Chart in WPF and What Happens When You Ask AI to Do It Instead,1
Chapter 11: The Full GPT - Assembling the Model,1
10 .NET Open Source Libraries Every Developer Should Know in 2026,1
How to Use Java JARs and .NET DLLs Across Platforms,0
I built a native C# DataFrame engine to rival Python Polars (it's actually faster on some things),1
Building Modern Apps with Blazor and .NET MAUI — What Actually Works in 2026,1
Async/Await in Production: The Bug That Only Appeared Under Load,0
How to Switch the Algorithms at Runtime with Strategy Pattern in C#,1
Cómo manejar fallos transitorios en .NET con Polly y ResiliencePipelineBuilder,0
Background Services in .NET — IHostedService and BackgroundService Explained,1
Mastering Dependency Injection in .NET,0
Anatomy of a Shared Memory Bridge: How .NET Calls Java In-Process,0
Decoupling with Chain of Responsibility Pattern in C#,1
"CLAUDE.md for C# and .NET: 13 Rules That Make AI Write Modern, Idiomatic Production Code",1
Global Exception Handling in ASP.NET Core — The Complete Guide,1
"Post-Mortem: How a ""Performance"" PR Introduced 28 New Regressions",1
Why .NET interviews feel harder than they should,0
Chapter 4: The Bigram Model - Simplest Possible Language Model,1
Stop Handing Over Your Entire Wallet: DTOs in .NET Explained,1
"Building a Cloud-Native Event Ticketing System with DDD, Event-Driven Architecture & CQRS in .NET 8",1
AI integrations: Rely or verify? Checking Semantic Kernel,1
Day 1/90: C# setup and .NET environment - C# Engineering,0
Building QuizTest — A WPF Quiz Application for Educational Institutions,0
How Blazor fits into the .NET ecosystem and what does it mean for businesses looking into it?,0
Building a C# Agent with Microsoft Agent Framework and Ollama,1
CQRS and the Mediator Pattern in .NET with MediatR,1
Protecting .NET String Values by Hiding Them in Machine Code DLLs,0
Patterns for Routing in ASP.NET Minimal APIs,1
"Clean Architecture in .NET — A Practical, Real-World Guide",1
Building Scalable Backends with DDD & Domain Events .NET C#,0
I Built a Production AI Layer Inside a Legacy ASP.NET Core App — and It Broke in Ways Tutorials Never Mention,1
Why Is Everyone Rushing for VMware to AWS Migration? Top 7 Reasons Explained,1
What Happens Behind the Scenes When You Call an API in .NET,0
Abstract Factory Pattern in C# – Step-by-Step Tutorial,1
Big O Notation explained,1
Porting a SwiftUI App to Avalonia: How does Cross-Platform .NET hold up,0
What does your .NET SaaS architecture look like in 2025?,1
"Is ""Learn C the Hard Way"" suitable for complete beginners?",1
New open source Mumble Manager project...,1
This Concurrency Bug Stayed Hidden for a Year,0
"Muonroi Building Block: an open-core .NET foundation for rule engines, decision tables, and multi-tenancy",0
I Deployed a .NET 8 URL Shortener for Free — Here's Every Problem I Hit,1
CQRS Without MediatR: Hand-Rolled Command and Query Handlers in .NET,0
I made my first NuGet Package,1
I stopped rebuilding the same .NET backend every project (here’s what changed),1
Why useEffect Confuses Every C# Developer (And How to Finally Think About It),1
Threading vs Tasks vs Parallelism — The Complete .NET Concurrency Guide,1
The State of OCR in .NET (2026): From Text Extraction to Real Pipelines,0
Never stop learning,1
Free Open Source IdentityServer for .NET 10: Getting Started with IdentityServer10,0
How to Add Token Swaps to C# .NET Backends,0
IAsyncEnumerable Explained — Async Streams in .NET,1
Microsecond Latency in a Managed Language: The Performance Philosophy Behind Typhon,1
ACadSharp.Image: Render DXF and DWG to images in .NET without AutoCAD,0
Beyond Localhost: Implementing Production-Grade Entra ID Auth in .NET Aspire,0
SqlDependency in .NET – Query Notifications and Real-Time Data Change Reactions,0
I built a browser-based GUI for managing appsettings.json in .NET — now on NuGet,0
Cookie based authentication & authorization in ASP.NET Core explained,1
SecretVault: One Interface to Rule All Your Cloud Secrets in .NET 9,0
Implementing the Retry Pattern Using Polly in .NET Applications,1
"LangGraph vs Microsoft Agent Framework: Design Your State First, or Discover It Later",1
Practical Combat of MAUI Embedded Web Architecture (2)PicoServer Routing Mechanism and API Design,1
Building a Multi-Channel Notification Service in .NET 8,0
Practical Combat of MAUI Embedded Web Architecture (10) App Web Shell Architecture: Building a Cross-Platform Local Application Platform,1
Practical Combat of MAUI Embedded Web Architecture (7) PicoServer + WebSocket: Building Real-Time Device Communication and Control Systems,1
Practical Combat of MAUI Embedded Web Architecture (9) PicoServer + PWA Offline System: Building a True Local Web App,1
Practical Combat of MAUI Embedded Web Architecture (8) Plug-in API Architecture: Automatic Controller Discovery and Modular Expansion,1
Practical Combat of MAUI Embedded Web Architecture (4) PicoServer Static File Hosting and Integration with Vue/React Frontends,1
Practical Combat of MAUI Embedded Web Architecture (3)Building a Scalable PicoServer REST API Framework,1
How I release a Blazor app to 8 distribution channels,0
"Game Dev Digest — Issue #325 - UI, Worflows, Patterns and more",1
Why I Over-Engineered a ULID Library for .NET,0
We Almost Shipped a Security Hole. Here's How React Context and .NET 10 Razor Pages Saved Us,0
Stop Writing the Same Null Checks Over and Over Again. There Is a Better Way.,1
How to Merge PDFs in .NET Without Microsoft Office (Avoid Common Issues),0
🚀 Simplifying Bulk Operations with Dapper in .NET,0
I wrote a .NET assertion library to understand how they work,0
Row-Level Security in Embedded Reporting: The Patterns That Actually Work for .NET SaaS,1
Practical Combat of MAUI Embedded Web Architecture (6) PicoServer Web Admin Permission System Design and Authentication Architecture,1
How to Communicate with Silicon Labs EFR32 NCP from C# / .NET using BGAPI,0
Clean Architecture con c# (Trabajo en progreso 🚧👷🏽),1
"How I use the same Blazor code for WASM, Windows, Linux, macOS, iOS, Android without a single #if",0
"Design Patterns in C# (Factory, Singleton, Repository, Observer)",1
"Building a Legal Tech Automation System: Syncing Clio, Lawmatics, Zoom & Box Using .NET Hangfire",0
Getting Started with Azure Bot Framework — Build Your First Bot in C#,1
A programming language for AI on top of C# and Roslyn,1
Why I Built an AI Agent Framework in .NET Instead of Python,1
The Rule Pattern in C#,1
3 LINQ Mistakes That Hurt Backend API Performance in .NET,1
Best .NET PDF Libraries in 2026: Free vs Paid (What Actually Works),1
How I Built GPU-Accelerated Frosted Glass and Acrylic Blur for .NET MAUI (And Why Every Other Library Gets It Wrong),1
"Minimal APIs in .NET Are Not a Toy, Start Treating Them That Way",0
Dez tecnologias essenciais em .NET,0
Mapping Windows Virtual Keys to actual characters in .NET,0
Build a School Management System in .NET 10 & Blazor — Sprint 1: Identity & User Management,0
Zero to First Agent,1
🚀 I've been quietly building new features into The Coffee Timer ☕ — my Pomodoro productivity app — and I'm excited to share what's new!,1
Why I Built a Privacy-First AI Assistant for Visual Studio 2022 (Goodbye Cloud-Only Copilots!),1
Java + .NET Integration Broke? Here's Your Fix-It Checklist,0
"Why is the .NET Community so 'Quiet' compared to Go, Rust, or TypeScript?",0
.NET Reflection Performance: CSV Export Benchmarks (Part 2),0
Why Microsoft Office Interop Fails for PDF Generation in .NET (And What to Use Instead),0
What Your .NET Exceptions Are Telling Attackers (And How to Stop It),1
I built automatic filtering for WPF DataGrid because I was tired of doing it manually,0
Microsoft Agent Framework: Introduction,1
A Simple Clean Architecture Structure for ASP.NET Core Projects,1
"I Built a Chrome Extension in Blazor WASM, Rewrote It in JavaScript, and I'm Going Back to Blazor",0
JWT Refresh Token Rotation in .NET — Why Your Auth is Probably Broken,0
We Built Multi-Tenancy Into a Blazor App. Here's Every Layer Preventing Data Leaks.,1
C# to Go: A .NET Developer's Translation Map,0
"The Timeless Marriage: GoF Visitor, LINQ Expression Trees, and Why 30-Year-Old Patterns Still Ship Code",1
Building an Enterprise-Grade File Organizer with .NET and Avalonia UI,0
How I Built a Production-Ready Multi-Tenant SaaS Boilerplate with .NET 10,0
.NET Interview questions: Key concepts explained,1
"AI in Software Development: A Mirror, Not a Magic Wand",1
.NET Reflection Performance: Enum Attribute Benchmarks (Part 1),0
How Dependency Injection Works Internally in .NET,0
Printing Images on an ESC/POS Thermal Printer in .NET MAUI,0
Squeezing Microseconds: A Practical Guide to Java/.NET Performance Tuning,1
I built a tool that turns prompts into native .NET desktop apps — live-compiled,0
"I built a Visual Studio extension where AI programs using real OOP tools (Roslyn tree, debugger, UI automation)",1
Build vs Buy: The Real Cost of Adding Reports to Your .NET SaaS Product,0
Why .NET Deserves Serious Consideration for Your Next Backend Project,0
Building Your First Web API with ASP.NET Core Part 4: Putting It All Together & Beyond,1
